date,hospital,type,incidents,report,link
5/19/16,Navos,Escape,1,Unreported,https://www.documentcloud.org/documents/6150294-Navos-051916-Escape.html
6/22/16,Navos,Assault,1,Unreported,https://www.documentcloud.org/documents/6150293-Navos-062216-Assault.html
7/15/16,Navos,Assault,1,Unreported,https://www.documentcloud.org/documents/6150292-Navos-071516-Assault.html
7/17/16,Navos,Escape,1,Unreported,https://www.documentcloud.org/documents/6150291-Navos-071716-Escape.html
7/19/16,Navos,Escape,1,Unreported,https://www.documentcloud.org/documents/6150290-Navos-071916-Escape.html
7/30/16,Navos,Escape,1,Unreported,https://www.documentcloud.org/documents/6150289-Navos-073016-Escape.html
7/31/16,Navos,Assault,1,Unreported,https://www.documentcloud.org/documents/6150288-Navos-073116-Assault.html
8/28/16,Navos,Assault,1,Unreported,https://www.documentcloud.org/documents/6150287-Navos-082816-Assault.html
9/14/16,Navos,Assault,1,Unreported,https://www.documentcloud.org/documents/6150286-Navos-091416-Assault.html
9/25/16,Navos,Assault,1,Unreported,https://www.documentcloud.org/documents/6150285-Navos-092516-Assault.html
10/1/16,Navos,Escape,1,Unreported,https://www.documentcloud.org/documents/6150284-Navos-100116-Escape.html
10/12/16,Navos,Escape,1,Unreported,https://www.documentcloud.org/documents/6150283-Navos-101216-Escape.html
11/6/16,Navos,Assault,1,Unreported,https://www.documentcloud.org/documents/6150282-Navos-110616-Assault.html
11/29/16,Navos,Escape,1,Unreported,https://www.documentcloud.org/documents/6150281-Navos-112916-Escape.html
12/15/16,Navos,Escape,1,Unreported,https://www.documentcloud.org/documents/6150280-Navos-121516-Escape.html
12/17/16,Navos,Escape,1,Unreported,https://www.documentcloud.org/documents/6150279-Navos-121716-Escape.html
12/31/16,Navos,Escape,1,Unreported,https://www.documentcloud.org/documents/6150278-Navos-123116-Escape.html
1/25/17,Navos,Assault,1,Unreported,https://www.documentcloud.org/documents/6150277-Navos-012517-Assault.html
3/2/17,Navos,Assault,1,Unreported,https://www.documentcloud.org/documents/6150276-Navos-030217-Assault.html
3/13/17,Navos,Sex Offense,1,Unreported,https://www.documentcloud.org/documents/6150275-Navos-031317-Sex-Offense.html
4/8/17,Navos,Assault,1,Unreported,https://www.documentcloud.org/documents/6150274-Navos-040817-Assault.html
5/23/17,Navos,Assault,1,Unreported,https://www.documentcloud.org/documents/6150273-Navos-052317-Assault.html
5/26/17,Navos,Assault,1,Unreported,https://www.documentcloud.org/documents/6150271-Navos-052617-Assault-2.html
5/26/17,Navos,Assault,1,Unreported,https://www.documentcloud.org/documents/6150272-Navos-052617-Assault-1.html
6/27/17,Navos,Assault,1,Unreported,https://www.documentcloud.org/documents/6150270-Navos-062717-Assault.html
7/7/17,Navos,Assault,1,Unreported,https://www.documentcloud.org/documents/6150269-Navos-070717-Assault.html
7/12/17,Navos,Fall,1,Reported,
7/29/17,Navos,Assault,1,Unreported,https://www.documentcloud.org/documents/6150268-Navos-072917-Assault.html
9/15/17,Navos,Escape,1,Unreported,https://www.documentcloud.org/documents/6150265-Navos-091517-Escape.html
9/24/17,Navos,Assault,1,Unreported,https://www.documentcloud.org/documents/6150266-Navos-092417-Assault.html
11/12/17,Navos,Assault,1,Unreported,https://www.documentcloud.org/documents/6150267-Navos-111217-Assault.html
11/13/17,Navos,Assault,1,Unreported,https://www.documentcloud.org/documents/6150264-Navos-111317-Assault.html
11/18/17,Navos,Escape,1,Unreported,https://www.documentcloud.org/documents/6150263-Navos-111817-Escape.html
12/6/17,Navos,Assault,1,Unreported,https://www.documentcloud.org/documents/6150261-Navos-120617-Assault.html
12/6/17,Navos,Escape,1,Unreported,https://www.documentcloud.org/documents/6150262-Navos-120617-Escape.html
12/25/17,Navos,Assault,1,Unreported,https://www.documentcloud.org/documents/6150260-Navos-122517-Assault.html
12/30/17,Navos,Sex Offense,1,Unreported,https://www.documentcloud.org/documents/6150259-Navos-123017-Sex-Offense.html
1/18/18,Navos,Assault,1,Unreported,https://www.documentcloud.org/documents/6150258-Navos-011818-Assault.html
2/15/18,Navos,Assault,1,Unreported,https://www.documentcloud.org/documents/6150257-Navos-021518-Assault.html
3/6/18,Navos,Assault,1,Unreported,https://www.documentcloud.org/documents/6150256-Navos-030618-Assault.html
3/15/18,Navos,Escape,1,Unreported,https://www.documentcloud.org/documents/6150255-Navos-031518-Escape.html
12/31/17,Smokey Point,Assault,1,Unreported,https://www.documentcloud.org/documents/6150462-Smokey-Point-031518-State-SOD.html#document/p49/a506536
1/9/18,Smokey Point,Suicide Attempt,1,Unreported,https://www.documentcloud.org/documents/6150462-Smokey-Point-031518-State-SOD.html#document/p17/a506548
2/13/18,Smokey Point,Sex Offense,1,Unreported,https://www.documentcloud.org/documents/6150462-Smokey-Point-031518-State-SOD.html#document/p19/a506549
2/16/18,Smokey Point,Suicide Attempt,1,Unreported,https://www.documentcloud.org/documents/6150462-Smokey-Point-031518-State-SOD.html#document/p15/a506543
2/17/18,Smokey Point,Assault,1,Unreported,https://www.documentcloud.org/documents/6150462-Smokey-Point-031518-State-SOD.html#document/p36/a506553
2/17/18,Smokey Point,Suicide Attempt,1,Unreported,https://www.documentcloud.org/documents/6150462-Smokey-Point-031518-State-SOD.html#document/p19/a506549
2/19/18,Smokey Point,Suicide Attempt,1,Unreported,https://www.documentcloud.org/documents/6150462-Smokey-Point-031518-State-SOD.html#document/p16/a506544
2/24/18,Smokey Point,Assault,1,Unreported,https://www.documentcloud.org/documents/6150462-Smokey-Point-031518-State-SOD.html#document/p36/a506556
4/11/18,Smokey Point,Assault,1,Unreported,https://www.documentcloud.org/documents/6150783-Smokey-Point-041118-Assault.html
4/13/18,Smokey Point,Injury,1,Unreported,https://www.documentcloud.org/documents/6150782-Smokey-Point-041318-Injury.html
4/27/18,Smokey Point,Suicide Attempt,1,Unreported,Audio
4/28/18,Smokey Point,Fall,1,Unreported,https://www.documentcloud.org/documents/6150781-Smokey-Point-042818-Fall.html
5/5/18,Smokey Point,Assault,1,Unreported,https://www.documentcloud.org/documents/6150780-Smokey-Point-050518-Assault.html
5/6/18,Smokey Point,Assault,1,Unreported,https://www.documentcloud.org/documents/6150779-Smokey-Point-050618-Assault.html
5/15/18,Smokey Point,Assault,1,Unreported,https://www.documentcloud.org/documents/6150778-Smokey-Point-051518-Assault.html
5/30/18,Smokey Point,Overdose,1,Unreported,https://www.documentcloud.org/documents/6150689-Smokey-Point-060718-CMS-SOD.html#document/p17/a506578
5/31/18,Smokey Point,Overdose,1,Unreported,https://www.documentcloud.org/documents/6150689-Smokey-Point-060718-CMS-SOD.html#document/p18/a506583
6/4/18,Smokey Point,Medication Error,1,Unreported,https://www.documentcloud.org/documents/6150689-Smokey-Point-060718-CMS-SOD.html#document/p22/a506585
6/16/18,Smokey Point,Fall,1,Unreported,https://www.documentcloud.org/documents/6150727-Smokey-Point-082218-DOH-report.html#document/p1/a506594
6/18/18,Smokey Point,Fall,1,Reported,
7/14/18,Smokey Point,Assault,1,Unreported,https://www.documentcloud.org/documents/6150777-Smokey-Point-071418-Assault.html
8/14/18,Smokey Point,Assault,1,Reported,
8/13/18,Smokey Point,Assault,1,Unreported,https://www.documentcloud.org/documents/6150784-Smokey-Point-081318-Assault.html
8/31/18,Smokey Point,Assault,1,Unreported,Audio
9/1/18,Smokey Point,Sex Offense,1,Unreported,https://www.documentcloud.org/documents/6150776-Smokey-Point-090118-Sex-Offense.html
10/4/18,Smokey Point,Suicide Attempt,1,Unreported,https://www.documentcloud.org/documents/6150687-Smokey-Point-011719-CMS-SOD.html#document/p29/a506601
11/22/18,Smokey Point,Suicide Attempt,1,Unreported,https://www.documentcloud.org/documents/6150687-Smokey-Point-011719-CMS-SOD.html#document/p29/a506602
12/2/18,Smokey Point,Suicide Attempt,1,Unreported,https://www.documentcloud.org/documents/6150687-Smokey-Point-011719-CMS-SOD.html#document/p29/a506603
12/2/18,Smokey Point,Assault,1,Unreported,https://www.documentcloud.org/documents/6150771-Smokey-Point-120218-Assault.html
12/4/18,Smokey Point,Fall,1,Unreported,https://www.documentcloud.org/documents/6150772-Smokey-Point-120418-Fall.html
12/5/18,Smokey Point,Suicide Attempt,1,Unreported,https://www.documentcloud.org/documents/6150775-Smokey-Point-120518-Suicide-Attempt.html
12/9/18,Smokey Point,Sex Offense,1,Unreported,https://www.documentcloud.org/documents/6150687-Smokey-Point-011719-CMS-SOD.html#document/p29/a506605
12/11/18,Smokey Point,Fall,1,Unreported,https://www.documentcloud.org/documents/6150774-Smokey-Point-121118-Fall.html
12/13/18,Smokey Point,Medication Error,1,Unreported,https://www.documentcloud.org/documents/6150687-Smokey-Point-011719-CMS-SOD.html#document/p29/a506605
12/16/18,Smokey Point,Assault,1,Unreported,https://www.documentcloud.org/documents/6150687-Smokey-Point-011719-CMS-SOD.html#document/p30/a506607
12/21/18,Smokey Point,Assault,1,Unreported,https://www.documentcloud.org/documents/6150687-Smokey-Point-011719-CMS-SOD.html#document/p30/a506608
12/23/18,Smokey Point,Fall,1,Unreported,https://www.documentcloud.org/documents/6150773-Smokey-Point-122318-Fall.html
12/24/18,Smokey Point,Injury,1,Unreported,https://www.documentcloud.org/documents/6150687-Smokey-Point-011719-CMS-SOD.html#document/p30/a506609
